,ExpermientName,Subject,Session,StartTime,CurrentTime,Step,Block,Scenario,TimeInCondition,Cue,Startle,Shock,FearRating,CueStart,CueEnd,InstructionScreenNum,HabituationNumShockType,VAS_score,VAS_type,VAS_RT,ExperimentName,ShockType
0,,,1,1779537239.697122,40.15,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,40.2,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,40.25,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,40.31,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,40.36,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,40.41,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,40.46,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,40.51,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,40.56,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,40.61,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,40.66,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,40.72,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,40.77,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,40.82,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,40.87,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,40.92,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,40.97,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,41.02,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,41.07,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,41.13,Instructions,,,,,,,,,,12,,,,,Fort,Sound
