Event.Nr	CDA.nSCR	CDA.Latency	CDA.AmpSum	CDA.SCR	CDA.ISCR	CDA.PhasicMax	CDA.Tonic	TTP.nSCR	TTP.Latency	TTP.AmpSum	Global.Mean	Global.MaxDeflection	Event.NID	Event.Name
173	 1	2.9432	0.0532	0.0021	0.3296	0.3713	17.0679	 1	1.7932	0.2855	17.0950	0.1127	 95	"95"
174	 5	0.1882	0.3237	0.0062	0.9964	0.3264	17.1383	 2	0.9632	0.0561	17.3771	0.1010	 60	"60"
175	 3	0.0737	0.0762	0.0016	0.2552	0.1517	17.2538	 0	   NaN	0.0000	17.3968	0.0046	 61	"61"
176	 0	   NaN	0.0000	0.0000	0.0021	0.0521	17.2881	 0	   NaN	0.0000	17.2956	0.0023	 62	"62"
177	 0	   NaN	0.0000	0.0004	0.0565	0.0587	17.1760	 0	   NaN	0.0000	17.1912	0.0040	 63	"63"
178	 0	   NaN	0.0000	0.0004	0.0691	0.0598	17.1013	 0	   NaN	0.0000	17.1167	0.0017	 64	"64"
179	 3	0.5483	0.1380	0.0031	0.5004	0.1867	16.9415	 0	   NaN	0.0000	17.0131	0.0020	 65	"65"
180	 3	0.8072	0.0394	0.0011	0.1699	0.1185	18.1543	 0	   NaN	0.0000	18.1800	0.0078	 66	"66"
181	 0	   NaN	0.0000	0.0001	0.0183	0.0508	17.9311	 0	   NaN	0.0000	17.9375	0.0026	 20	"20"
182	 0	   NaN	0.0000	0.0003	0.0511	0.0626	17.7912	 0	   NaN	0.0000	17.7993	0.0030	 21	"21"
183	 0	   NaN	0.0000	0.0004	0.0708	0.0586	17.6619	 0	   NaN	0.0000	17.6752	0.0010	 22	"22"
184	 1	1.6153	0.0117	0.0006	0.0948	0.0732	17.5330	 0	   NaN	0.0000	17.5529	0.0013	 23	"23"
185	 0	   NaN	0.0000	0.0006	0.0908	0.0531	17.3799	 0	   NaN	0.0000	17.4016	0.0012	 24	"24"
186	 2	1.3303	0.0250	0.0009	0.1362	0.0909	17.2323	 0	   NaN	0.0000	17.2606	0.0041	 25	"25"
187	 3	0.7227	0.0850	0.0021	0.3422	0.1434	16.9063	 2	0.5477	0.0263	16.9851	0.0274	 26	"26"
188	 0	   NaN	0.0000	0.0003	0.0527	0.0878	16.8837	 0	   NaN	0.0000	16.9022	0.0075	 60	"60"
189	 0	   NaN	0.0000	0.0001	0.0084	0.0351	16.8525	 0	   NaN	0.0000	16.8590	0.0027	 61	"61"
190	 0	   NaN	0.0000	0.0002	0.0321	0.0394	16.7813	 0	   NaN	0.0000	16.7877	0.0047	 62	"62"
191	 0	   NaN	0.0000	0.0003	0.0546	0.0473	16.7328	 0	   NaN	0.0000	16.7433	0.0023	 63	"63"
192	 1	2.5913	0.0156	0.0006	0.0946	0.0713	16.6865	 0	   NaN	0.0000	16.7024	0.0050	 64	"64"
193	 1	3.1887	0.0123	0.0005	0.0879	0.0605	16.6004	 0	   NaN	0.0000	16.6200	0.0036	 65	"65"
194	 0	   NaN	0.0000	0.0005	0.0787	0.0724	16.4089	 0	   NaN	0.0000	16.4184	0.0038	 66	"66"
195	 1	0.8128	0.0105	0.0003	0.0509	0.0916	16.3366	 0	   NaN	0.0000	16.3577	0.0068	 80	"80"
196	 0	   NaN	0.0000	0.0002	0.0391	0.0480	16.2910	 0	   NaN	0.0000	16.2996	0.0030	 81	"81"
197	 0	   NaN	0.0000	0.0003	0.0429	0.0453	16.2115	 0	   NaN	0.0000	16.2200	0.0030	 82	"82"
198	 0	   NaN	0.0000	0.0003	0.0407	0.0395	16.1661	 0	   NaN	0.0000	16.1773	0.0020	 83	"83"
199	 1	3.7002	0.0157	0.0005	0.0767	0.1219	16.0944	 0	   NaN	0.0000	16.1029	0.0088	 84	"84"
200	 7	0.3787	0.3377	0.0063	1.0139	0.3626	15.9035	 1	0.3787	0.0118	16.0379	0.0118	 85	"85"
201	 3	1.5218	0.1642	0.0030	0.4850	0.3301	21.8439	 0	   NaN	0.0000	21.8905	0.0000	 86	"86"
202	 5	0.6357	0.1056	0.0025	0.3990	0.1688	20.5607	 0	   NaN	0.0000	20.7389	0.0000	 40	"40"
203	 0	   NaN	0.0000	0.0003	0.0462	0.0602	20.1570	 0	   NaN	0.0000	20.1923	0.0000	 41	"41"
204	 0	   NaN	0.0000	0.0003	0.0475	0.0650	19.8406	 0	   NaN	0.0000	19.8511	0.0003	 42	"42"
